"prov_code","prov_name","muni_code","muni_name","c1842","c1857","c1860","c1877","c1887","c1897","c1900","c1910","c1920","c1930","c1940","c1950","c1960","c1970","c1981","c1991","c2001","c2011"
15,"a coruna","15001","Abegondo",3819,NA,NA,7104,7063,7244,7449,7700,7853,8934,9344,8625,8123,7033,6274,5466,5729,5699
15,"a coruna","15002","Ames",4604,NA,NA,7655,7473,7655,8051,8227,8502,8813,10011,10074,10735,10188,9527,10011,18782,29106
15,"a coruna","15003","Aranga",2207,NA,NA,4820,4713,4516,4838,5010,5250,5403,5307,4622,4228,3402,2723,2506,2314,2070
15,"a coruna","15004","Ares",4813,NA,NA,4309,4439,4483,4615,5284,5333,5986,6226,4755,5156,5129,4708,4511,5003,5774
15,"a coruna","15005","Arteixo",6533,NA,NA,8208,8165,8839,10160,10397,10024,10127,10879,10722,11285,12380,15448,17931,23306,30630
15,"a coruna","15006","Arzua",4794,NA,NA,8314,8865,9012,9262,9188,8899,9179,10911,10869,10650,9842,7377,7016,6633,6304
15,"a coruna","15007","Bana, A",3477,NA,NA,5707,6119,6403,6493,6958,7143,7380,7674,8193,9313,8775,8361,5864,4800,3972
15,"a coruna","15008","Bergondo",4775,NA,NA,5394,5772,5805,6400,6898,6558,6450,6846,6221,5760,5570,5293,5392,6223,6692
15,"a coruna","15009","Betanzos",5840,NA,NA,8132,8101,8039,8996,8692,9086,9340,10583,11091,10552,10466,11383,11930,12510,13539
15,"a coruna","15010","Boimorto",2421,NA,NA,3912,3925,3989,4070,4086,4379,4471,5389,5568,6031,5621,3464,2999,2522,2199
15,"a coruna","15011","Boiro",7386,NA,NA,7761,8062,8564,9293,10005,10551,11484,12481,13179,13462,14849,17288,17665,17748,19088
15,"a coruna","15012","Boqueixon",3348,NA,NA,4347,4399,4209,4623,4516,4652,4821,5202,5325,5511,5406,5511,4230,4267,4411
15,"a coruna","15013","Brion",6292,NA,NA,6374,6400,6503,6641,6843,6774,7206,7199,7649,8278,7690,6790,6375,6233,7373
15,"a coruna","15014","Cabana de Bergantinos",3063,NA,NA,4334,4445,4498,4821,4677,4806,5553,6308,6880,7044,7003,6991,6291,5563,4747
15,"a coruna","15015","Cabanas",2492,NA,NA,2854,3118,3311,3526,3841,4049,4062,4490,4686,5095,5039,3528,3074,3354,3297
15,"a coruna","15016","Camarinas",2659,NA,NA,3607,3876,4349,4572,5123,5628,6136,6124,6004,7490,8016,7220,7410,6421,6075
15,"a coruna","15017","Cambre",4409,NA,NA,6159,6461,6513,6858,6865,7056,8393,8019,8164,8173,7608,9181,12330,19262,23822
15,"a coruna","15018","Capela, A",3253,NA,NA,3423,3570,3728,4011,4290,4377,4858,4842,4796,4752,4153,3244,1741,1530,1373
15,"a coruna","15019","Carballo",9198,NA,NA,11885,11444,12844,13554,14766,15334,16565,19001,21313,22814,25166,25713,26033,28142,31292
